,0
0,55
1,63
2,73
3,174
4,298
5,310
6,316
7,359
8,469
9,624
10,674
11,731
12,736
13,939
14,1032
15,1040
16,1145
17,1173
18,1261
19,1503
20,1599
21,1787
22,1934
23,1997
24,2039
25,2062
26,2076
27,2113
28,2323
29,2364
30,2491
31,2512
32,2533
33,2709
34,2940
35,2966
36,3095
37,3120
38,3123
39,3233
40,3378
41,3395
42,3455
43,3555
44,3651
45,3742
46,3791
47,3792
48,3859
49,4005
50,4240
51,4397
52,4593
53,4639
54,4753
55,4802
56,4830
57,5008
58,5008
59,5123
60,5130
61,5137
62,5146
63,5160
64,5346
65,5502
66,5502
67,5579
68,5636
69,5863
70,5937
71,6002
72,6074
73,6170
74,6321
75,6553
76,6613
77,6613
78,6642
79,6653
80,6740
81,6888
82,6949
83,7082
84,7084
85,7123
86,7150
87,7225
88,7339
89,7463
90,7593
91,7750
92,7760
93,7806
94,7893
95,8121
96,8483
97,8576
98,8660
99,8799
100,8818
101,8837
102,8897
103,8950
104,9017
105,9079
106,9135
107,9332
108,9567
109,9813
110,9822
111,9829
112,10388
113,10588
114,10626
115,10636
116,10715
117,10744
118,10748
119,10798
120,10844
121,10845
122,11051
123,11054
124,11683
125,11758
126,11786
127,11873
128,12017
129,12138
130,12252
131,12404
132,12695
133,12698
134,12770
135,12805
136,12942
137,13088
138,13117
139,13166
140,13208
141,13269
142,13393
143,13432
144,13515
145,13552
146,13666
147,13824
148,13909
149,13956
150,13994
151,14035
152,14202
153,14360
154,14379
155,14421
156,14470
157,14477
158,14477
159,14613
160,14628
161,14654
162,14794
163,14804
164,14805
165,14822
166,14911
167,15151
168,15241
169,15308
170,15344
171,15388
172,15611
173,15637
174,16061
175,16190
176,16258
177,16272
178,16315
179,16424
180,16496
181,16578
182,16949
183,16970
184,17297
185,17395
186,17596
187,17641
188,17883
189,17960
190,18004
191,18092
192,18174
193,18191
194,18239
195,18485
196,18533
197,18575
198,18611
199,18627
200,18637
201,18652
202,18674
203,18750
204,18789
205,18990
206,18994
207,19228
208,19312
209,19518
210,19596
211,19657
212,19749
213,19749
214,19768
215,19847
216,19932
217,19964
218,19997
219,20066
220,20069
221,20156
222,20655
223,20769
224,20862
225,21164
226,21384
227,21400
228,21402
229,21471
230,21593
231,21743
232,21770
233,22016
234,22070
235,22275
236,22303
237,22346
238,22347
239,22413
240,22759
241,22778
242,23024
243,23108
244,23117
245,23247
246,23345
247,23359
248,23560
249,23593
250,23842
251,23964
252,24185
253,24207
254,24239
255,24246
256,24258
257,24313
258,24391
259,24399
260,24468
261,24568
262,24756
263,24856
264,24910
265,25073
266,25081
267,25086
268,25296
269,25479
270,25499
271,25724
272,25792
273,25820
274,25841
275,25911
276,26049
277,26145
278,26166
279,26187
280,26202
281,26203
282,26568
283,26982
284,27009
285,27094
286,27232
287,27242
288,27349
289,27369
290,27410
291,27437
292,27462
293,27465
294,27551
295,27631
296,27672
297,27696
298,27777
299,27993
300,28016
301,28373
302,28399
303,28462
304,28478
305,28529
306,28594
307,28713
308,28716
309,28725
310,28852
311,28870
312,28879
313,28965
314,29079
315,29226
316,29378
317,29378
318,29460
319,29533
320,29669
321,29697
322,29700
323,29752
324,29849
325,29910
326,29969
327,29981
328,30084
329,30158
330,30218
331,30334
332,30362
333,30380
334,30408
335,30436
336,30665
337,30805
338,30849
339,30929
340,30945
341,30962
342,31015
343,31073
344,31326
345,31362
346,31385
347,31584
348,31724
349,31847
350,31873
351,31951
352,31979
353,31987
354,32103
355,32134
356,32165
357,32185
358,32229
359,32254
360,32257
361,32402
362,32451
363,32541
364,32641
365,32653
366,32675
367,32710
368,32741
369,32757
370,32814
371,33047
372,33165
373,33177
374,33263
375,33309
376,33342
377,33389
378,33395
379,33400
380,33487
381,33568
382,33628
383,33688
384,33694
385,33821
386,34356
387,34419
388,34425
389,34718
390,34724
391,34772
392,34895
393,35009
394,35356
395,35367
396,35422
397,35491
398,35505
399,35691
400,35737
401,35748
402,35822
403,35957
404,36039
405,36176
406,36397
407,36398
408,36468
409,36698
410,36844
411,36874
412,36966
413,36976
414,37167
415,37599
416,37670
417,37737
418,37746
419,37824
420,37912
421,38026
422,38033
423,38540
424,38638
425,39121
426,39586
427,39743
428,39921
429,39958
430,39971
431,40063
432,40107
433,40163
434,40300
435,40662
436,40708
437,40785
438,40893
439,40962
440,41007
441,41045
442,41293
443,41317
444,41650
445,41734
446,41915
447,41919
448,42059
449,42131
450,42376
451,42476
452,42558
453,42780
454,42797
455,42829
456,42915
457,43059
458,43143
459,43187
460,43339
461,43341
462,43362
463,43717
464,43863
465,43912
466,44012
467,44138
468,44171
469,44192
470,44391
471,44517
472,44715
473,44758
474,44918
475,45156
476,45184
477,45190
478,45358
479,45401
480,45417
481,45418
482,45469
483,45494
484,45506
485,45746
486,46111
487,46135
488,46136
489,46283
490,46487
491,46505
492,46525
493,46643
494,46831
495,46831
496,46833
497,46870
498,46889
499,46956
500,47327
501,47364
502,47415
503,47418
504,47495
505,47536
506,47661
507,47691
508,47709
509,47791
510,48022
511,48099
512,48170
513,48173
514,48306
515,48343
516,48387
517,48397
518,48457
519,48535
520,48679
521,48696
522,48704
523,48741
524,48934
525,49106
526,49234
527,49556
528,49573
529,50135
530,50181
531,50292
532,50318
533,50530
534,50552
535,50579
536,50585
537,50639
538,50776
539,50844
540,50925
541,51087
542,51089
543,51120
544,51142
545,51154
546,51458
547,51477
548,51501
549,51519
550,51584
551,51661
552,51698
553,51763
554,51851
555,51875
556,51875
557,52180
558,52191
559,52220
560,52409
561,52491
562,52542
563,52623
564,52697
565,52810
566,52832
567,52868
568,53001
569,53007
570,53010
571,53071
572,53604
573,53818
574,53838
575,53853
576,53854
577,53900
578,53941
579,54084
580,54089
581,54123
582,54226
583,54253
584,54407
585,54410
586,54678
587,54820
588,54934
589,55073
590,55147
591,55300
592,55379
593,55446
594,55454
595,55455
596,55558
597,55947
598,56138
599,56250
600,56535
601,56638
602,56954
603,57063
604,57210
605,57224
606,57654
607,57672
608,57903
609,58014
610,58043
611,58129
612,58234
613,58317
614,58358
615,58376
616,58474
617,58623
618,58625
619,58730
620,58786
621,58787
622,58807
623,58939
624,59152
625,59177
626,59351
627,59406
628,59455
629,59564
630,59614
631,59688
632,60067
633,60251
634,60303
635,60368
636,60536
637,60867
638,60922
639,60948
640,60949
641,61041
642,61070
643,61076
644,61159
645,61201
646,61207
647,61518
648,61527
649,61542
650,61741
651,61945
652,62046
653,62049
654,62193
655,62224
656,62367
657,62373
658,62421
659,62488
660,62507
661,62584
662,62586
663,62590
664,62699
665,62754
666,62920
667,62960
668,63012
669,63052
670,63301
671,63356
672,63393
673,63451
674,63525
675,63593
676,63748
677,63786
678,63829
679,63890
680,63965
681,64031
682,64106
683,64132
684,64179
685,64216
686,64226
687,64283
688,64355
689,64387
690,64526
691,64633
692,64717
693,64876
694,65197
695,65405
696,65409
697,65420
698,65432
699,65780
700,65806
701,65817
702,65872
703,65911
704,66271
705,66334
706,66559
707,66560
708,66653
709,66834
710,66855
711,67045
712,67062
713,67182
714,67272
715,67377
716,67453
717,67604
718,67722
719,67886
720,67962
721,67989
722,68038
723,68109
724,68249
725,68311
726,68356
727,68428
728,68528
729,68611
730,68739
731,68842
732,68861
733,68952
734,68955
735,68975
736,69002
737,69131
738,69188
739,69200
740,69277
741,69473
742,69516
743,69601
744,69603
745,70032
746,70143
747,70175
748,70207
749,70234
750,70249
751,70338
752,70418
753,70557
754,70579
755,70640
756,70658
757,70731
758,70858
759,70987
760,71019
761,71055
762,71096
763,71099
764,71288
765,71323
766,71383
767,71487
768,71551
769,71554
770,71582
771,72007
772,72012
773,72206
774,72210
775,72355
776,72388
777,72464
778,72474
779,72512
780,72562
781,72772
782,72822
783,72948
784,73003
785,73103
786,73137
787,73412
788,73452
789,73601
790,73853
791,74191
792,74339
793,74516
794,74597
795,74688
796,74789
797,74869
798,75013
799,75083
800,75163
801,75212
802,75448
803,75537
804,75602
805,75702
806,75839
807,75986
808,76024
809,76100
810,76204
811,76222
812,76279
813,76400
814,76530
815,76810
816,76905
817,76929
818,77017
819,77109
820,77113
821,77123
822,77236
823,77348
824,77483
825,77563
826,77646
827,77714
828,77803
829,78171
830,78215
831,78637
832,78675
833,78794
834,78920
835,78929
836,79128
837,79345
838,79502
839,79528
840,79549
841,79555
842,79586
843,79788
844,79806
845,80001
846,80061
847,80108
848,80133
849,80159
850,80184
851,80184
852,80478
853,80567
854,80834
855,80895
856,80908
857,81013
858,81018
859,81260
860,81263
861,81394
862,81403
863,81417
864,81477
865,81612
866,81748
867,81829
868,82118
869,82640
870,82642
871,82660
872,82674
873,82810
874,82913
875,82997
876,83007
877,83053
878,83079
879,83116
880,83128
881,83133
